name,rarity,description,type
Nobleman of Crossout,Super Rare, Destroy 1 face-down Monster Card and remove it from play. If the Monster is a Flip Effect Monster both players must check their respective Decks and remove all Monsters of the same name from play. Then shuffle the Decks.,Spell
Nobleman of Extermination,Rare, Destroy 1 face-down Spell or Trap Card and remove it from play. If the card is a Trap Card both players check their respective Decks and remove all cards of the same name from play. Then shuffle the Decks.,Spell
The Shallow Grave,Rare,Each player takes 1 Monster Card from his/her respective Graveyards and Special Summons them on the field in face-down Defense Position.,Spell
Premature Burial,Ultra Rare,Pay 800 Life Points. Select 1 Monster Card from your Graveyard Special Summon it to the field in face-up Attack Position and equip it with this card. When this card is destroyed the Monster is also destroyed.,Spell
Inspection,Short Print, During your opponents Standby Phase you can pay 500 Life Points to randomly select 1 card in your opponents hand and look at it.,Spell
Prohibition,Rare,When you play this card declare the name of 1 card. As long as this card remains on the field the declared card cannot be played. The cards which are already on the field before the cards activation are excluded.,Spell
Morphing Jar #2,Rare, FLIP: Return all Monster Cards on the field to their respective Decks and shuffle them. You and your opponent then pick up cards until you both have the same number of Monster Cards that were returned to each Deck. Special Summon the Level 4 or lower Monsters to the field in face-down Defense Position. The rest f the cards picked up are discarded to the Graveyard.,Monster
Flame Champion,Common,A warrior protected by a flaming shield that nullifies any attack.,Monster
Twin-Headed Fire Dragon,Common,Two dragons fused as one from the effects of the Big Bang.,Monster
Darkfire Soldier #1,Common,An explosive expert from a special elite force.,Monster
Mr. Volcano,Common,This seemingly mild-mannered creature has an extremely volatile temper.,Monster
Darkfire Soldier #2,Common,A warrior who gained immeasurable power from the heart of a volcano.,Monster
Kiseitai,Common, When your opponents Monster attacks this card in face-down Defense Position this card becomes an Equip Spell Card equipped to the attacking Monster (no damage calculation is conducted). During each of your opponents Standby Phases increase your Life points by half of the ATK of the Monster equipped with this card. ,Monster
Cyber Falcon,Common,A jet-powered hawk that travels at the speed of sound.,Monster
Flying Kamakiri #2,Common,A flying mantis that feeds primarily on insects.,Monster
Harpies Brother,Short Print,With eyes like a hawk and a flying speed exceeding Mach 5 this Monster is a master of the sky.,Monster
Buster Blader,Ultra Rare, Increase the ATK of this card by 500 points for each Dragon-Type Monster on your opponents side of the field and in your opponents Graveyard.,Monster
Michizure,Rare, You can activate this card when a Monster is sent from the field to your Graveyard. Destroy 1 Monster on the field.,Trap
Minor Goblin Official,Common,You can activate this card when your opponents Life Points are 3000 or less. Inflict 500 points of Direct Damage to your opponents Life Points during each of his/her Standby Phases.,Trap
Gamble,Common,You can activate this card when your opponents hand has 6 or more cards and your hand contains 2 or less. Toss a coin and call it. If you call it right draw until your hand has 5 cards. If you call it wrong skip your next turn.,Trap
Attack and Receive,Common, You can only activate this card when you take damage to your Life Points. Inflict 700 points of Direct Damage to your opponents Life Points. Also inflict 300 points of Direct Damage to your opponents Life Points for each Attack and Receive card in your Graveyard.,Trap
Solemn Wishes,Common,You gain 500 Life Points when you draw a card (or cards).,Trap
Skull Invitation,Rare,Every time a card is sent to the Graveyard inflict 300 points of Direct Damage to its owners Life Points per card.,Trap
Bubonic Vermin,Short Print,FLIP: You can take 1 Bubonic Vermin card from your Deck and Special Summon it on the field in face-down Defense Position. The Deck is then shuffled.,Monster
Dark Bat,Common,Bats from the nether world that use their hyper senses to detect their enemies.,Monster
Oni Tank T-34,Common,An armored tank possessed by a fiend that will pursue enemies until theyre crushed.,Monster
Overdrive,Common,An all-terrain armored vehicle armed with a heavy-duty machine gun.,Monster
Burning Land,Common, Destroy all Field Magic Cards on the field. Inflict 500 points of Direct Damage to each players Life Points during his/her Standby Phase.,Spell
Cold Wave,Common,This card can only be activated at the start of your Main Phase 1. Until your next turn neither you nor your opponent can play or Set any Magic or Trap Cards.,Spell
Fairy Meteor Crush,Super Rare, When a Monster equipped with this card attacks with an ATK that is higher than the DEF of a Defense Position Monster inflict the difference as Battle Damage to your opponents Life Points.,Spell
Limiter Removal,Super Rare, Double the ATK of all face-up Machine-Type Monsters that are on your side of the field when you activate this card. During the End Phase destroy all Monster Cards that were affected by this effect.,Spell
Rain of Mercy,Common,Increases the Life Points of both players by 1000 points.,Spell
Monster Recovery,Rare,Unite 1 of your own Monsters on your side of the field and your hand with your Deck and then shuffle it. Draw the same number of cards that were in your hand from the Deck. (You cannot activate this card if you have your opponents card in your hand.),Spell
Shift,Rare,You can activate this card when your opponent designates a Monster on your side of the field as the target of a Magic Trap or battle attack. Change the target to a different Monster on your side of the field.,Trap
Insect Imitation,Common,Offer 1 Monster on your side of the field as a Tribute. Select 1 Insect-Type Monster from your Deck that is 1 Level higher that the Tribute Monster and Special Summon it on the field in face-up Attack Position or face-down Defense Position. The Deck is then shuffled.,Spell
Dimensionhole,Rare,Remove 1 Monster on your side of the field from play until your next Standby Phase. The card still counts towards the 5-card Monster Zone limit.,Spell
Ground Collapse,Common, Select 2 Monster Card Zones on the field. Neither player can use the selected zones. You cannot select a zone that is occupied by a Monster Card.,Spell
Magic Drain,Rare, You can activate this card when your opponent activates a Spell Card. Your opponent can discard 1 Spell Card fro his/her hand to negate the effect of this card. if your opponent does not negate the activate o the Spell Card of your opponent and destroy it.,Trap
Infinite Dismissal,Common, Level 3 or lower Monsters are destroyed during the End Phase of the turn that they are Normal Summoned or Flip Summoned.,Trap
Gravity Bind,Rare, All Level 4 or higher Monsters on the field cannot attack.,Trap
Type Zero Magic Crusher,Common, Discard 1 Spell Card from your hand to inflict 500 points of damage to your opponents Life Points.,Trap
Shadow of Eyes,Short Print, You can only activate this card when your opponent Sets a Monster Card in Defense Position. Change it to face-up Attack position. If the Monster Card has a Flip Effect it is not activated.,Trap
The Legendary Fisherman,Ultra Rare, As long as Umi is face-up on the field this card is unaffected by Spell Cards. Monsters on your opponents side of the field cannot select this card as an attack target.,Monster
Sword Hunter,Common, A Monster destroyed by this card as a result of battle becomes an Equip Card at the end of the Battle Phase that increases the ATK of this card by 200 points.,Monster
Drill Bug,Common,When this card inflicts damage to your opponents Life Points you may take 1 Parasite Paracide card from your Deck shuffle the Deck and place the Paracite Paracide face-down on top of the Deck.,Monster
Deepsea Warrior,Common, As long as Umi is face-up on the field this card is unaffected by any Spell Cards.,Monster
Bite Shoes,Common, FLIP: Change the battle position of 1 face-up Monster on the field.,Monster
Spikebot,Common,A mechanized soldier created by a wicked sorcerer it attacks with the two steel balls attached to its arms.,Monster
Invitation to a Dark Sleep,Common,When this Monster is summoned (excluding Special Summon) select 1 of your opponents Monsters. As long as this card remains face-up on the field the selected Monster cannot attack.,Monster
Thousand-Eyes Idol,Short Print,A wicked entity that controls the hearts of men its thousand eyes are able to see and expand the negative influences in an individuals soul.,Monster
Thousand-Eyes Restrict,Ultra Rare,"Relinquished + Thousand-Eyes Idol 
As long as this card remains face-up on the field other Monsters cannot change their battle positions or attack. Select 1 Monster on your opponents side of the field and equip it to this card this effect can only be used once per turn and you can only equip 1 Monster at a time to this card). The ATK and DEF of this card become the same amounts as the Monster equipped to this card. if this cards is destroyed as a result of battle the equipped Monster is destroyed instead.",Monster
Girochin Kuwagata,Common,Despite its small size this Monster has powerful jaws that can rip metal to shreds.,Monster
Hayabusa Knight,Rare,This Monster can attack twice during the same Battle Phase.,Monster
Bombardment Beetle,Short Print, FLIP: Pick up and see 1 face-down Defense Position Monster Card on your opponents side of the field. If it is an Effect Monster destroy it (its Flip Effect is not activated) and if the card is not return it to its original position.,Monster
4-Starred Ladybug of Doom,Common,FLIP: Destroys all face-up Level 4 Monsters on your opponents side of the field.,Monster
Gradius,Common,A high-performance jet fighter with power capsules for variable attack capabilities.,Monster
Red-Moon Baby,Rare, You can Special Summon to your side of the field a Monster destroyed and sent to the Graveyard as a result of battle by this card at the end of the Battle Phase. ,Monster
Mad Sword Beast,Rare,When this card attacks with an ATK that is higher that the DEF of your opponents Defense Position Monster inflict the difference as Battle Damage to your opponents Life Points.,Monster
Skull Mariner,Common,A pirate ship that appears out of the mist and sinks any seagoing vessels.,Monster
The All-Seeing White Tiger,Common,A proud ruler of the jungle that some fear and others respect.,Monster
Goblin Attack Force,Ultra Rare,When this card attacks it is changed to Defense Position at the end of the Battle Phase. This position cannot be changed during your next turn.,Monster
Island Turtle,Short Print,A huge turtle that is often mistaken for an island.,Monster
Wingweaver,Short Print,A six-winged fairy who prays for peace and hope.,Monster
Science Soldier,Common,Soldiers equipped with state-of-the-art weaponry to face unknown creatures.,Monster
Souls of the Forgotten,Common,A wicked spirit created by the hateful souls of those who fell in battle. It grows by assimilating the souls of its enemies.,Monster
Dokuroyaiba,Common,A boomerang with brains that will pursue a target to the ends of the earth.,Monster
The Fiend Megacyber,Ultra Rare, You can Special Summon this card from your hand if your opponent has at least 2 more Monsters on the field than you do.,Monster
Gearfried the Iron Knight,Super Rare, When an Equip Spell Card is equipped to this card destroy he Equip Spell Card.,Monster
Insect Barrier,Common,Your opponents Insect-Type Monsters cannot attack as long as this card remains face-up on the field.,Spell
Beast of Talwar,Ultra Rare,"Archfiend Card
Only the master of the sword among the Fiend-Type Monsters is permitted to hold the Talwar.",Monster
Imperial Order,Secret Rare, As long as this card remains face-up on the field negate the effects of all Spell Cards on the field. Pay 700 Life Points during each of your Standby Phases. If you do not this card is destroyed.,Trap
Gemini Elf,Secret Rare,Elf twins that alternate their attacks.,Monster
The Masked Beast,Ultra Rare,This Monster can only be Ritual Summoned with the Ritual Magic Card Curse of the Masked Beast. You must also offer Monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.,Monster
Swordsman of Landstar,Common,An amateur with a sword this fairy warrior relies on its mysterious powers.,Monster
Humanoid Slime,Short Print,This slime apparently has some human genes in its genetic makeup.,Monster
Worm Drake,Common,Once this Monster wraps itself around a victim there is no escape.,Monster
Humanoid Worm Drake,Short Print,Humaniod Slime + Worm Drake,Monster
Revival Jam,Super Rare,When this card is sent to the Graveyard as a result of battle you can Special Summon this card in face-up Defense Position at your next Standby Phase by paying 1000 Life Points. This must be declared when Monster is destroyed. You cannot change its position during the same turn it is Special Summoned in this way.,Monster
Flying Fish,Common,Three wishes are granted to those fortunate enough to see this Monster in flight.,Monster
Amphibian Beast,Rare,On land or in the sea the speed of this Monster is unmatchable.,Monster
Shining Abyss,Common, This Monster employs the powers of both Light and Darkness. ,Monster
Gadget Soldier,Common,A rust-free machine warrior born to battle. ,Monster
Grand Tiki Elder,Common,A masked Monster that wields the most deadly of curses.,Monster
Melchid the Four-Face Beast,Common, This Monster has four different masks for four different attacks.,Monster
Nuvia the Wicked,Rare,If this Monster is Summoned by a Normal Summon it is destroyed. The ATK of this card is decreased by 200 points for each Monster on your opponents side of the field.,Monster
Chosen One,Short Print,Select 1 Monster Card and 2 non-Monster Cards from your hand. Your opponent randomly selects 1 of the 3 cards. If it is the Monster Card it is immediately Special Summoned in face-up Attack or Defense Position and the remaining 2 cards are sent to the Graveyard. If it is not a Monster Card all 3 cards are sent to the Graveyard,Spell
Mask of Weakness,Short Print,This card can only be activated in the Battle Phase. Select 1 attacking Monster and decrease the selected Monsters ATK by 700 points during the turn this card is activated.,Trap
Curse of the Masked Beast,Short Print,This card is used to Ritual Summon The Masked Beast. You must also offer Monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.,Spell
Mask of Dispel,Super Rare,Select 1 face-up Magic Card on the field. The controller of the Magic Card must take damage of 500 Life Points during each of his/her Standby Phases. When the selected card is destroyed or removed from the field this card is also destroyed,Spell
Mask of Restrict,Ultra Rare,No matter what the situation neither player can offer any Monster as a Tribute,Trap
Mask of the Accursed,Super Rare,The Monster equipped with this card cannot attack. In addition the player controlling the equipped Monster must take damage of 500 Life Points during each of your Standby Phases,Spell
Mask of Brutality,Rare,A Monster equipped with this card increases its ATK by 1000 points and decreases its DEF by 1000 points. Pay 1000 Life Points during each of your Standby Phases. If you cannot this card is destroyed,Spell
Return of the Doomed,Rare,Discard 1 Monster Card from your hand to the Graveyard. Return 1 of your Monsters that is sent to your Graveyard during this turn as a result of battle to your hand at the end of this turn.,Spell
Lightning Blade,Common,This card can only be equipped to Warrior-Type Monsters. Increases the ATK of the equipped Monster by 800 points and decreases the ATK of all WATER Monsters on the field by 500 points,Spell
Tornado Wall,Short Print,This card can only be activated when Umi is active on the field. As long as Umi remains face-up on the field any damage to your Life Points becomes 0. When Umi is destroyed or removed from the field this card is also destroyed.,Trap
Fairy Box,Short Print,Each time a Monster on your opponents side of the field attacks toss a coin and call Heads or Tails. If you call it right the attacking Monsters ATK become 0 only during the Battle Phase. Pay 500 Life Points during each of your Standby Phases. If you cannot this card is destroyed.,Trap
Torrential Tribute,Ultra Rare,You can activate this card when a Monster is Summoned (including Flip Summon and Special Summon). Destroy all Monsters on the field,Trap
Jam Breeding Machine,Rare,During each of your Standby Phases Special Summon 1 Slime Token (face-up Attack Position/Aqua-Type/WATER/LEVEL 1/ATK 500/DEF 500) to your side of the field. As long as this card remains face-up on the field you cannot Summon (including Flip Summon and Special Summon) any other Monster,Spell
Infinite Cards,Rare,As long as this card remains face-up on the field there is no limit to the number of cards in both players hands,Spell
Jam Defender,Short Print,Each time a Monster on your opponents side of the field attacks a Monster on your side of the field and you have Revival Jam face-up on the field you can change the attack target to Revival Jam,Trap
Card of Safe Return,Ultra Rare,When a Monster is Special Summoned to the field from your Graveyard you can draw 1 card from your Deck,Spell
Lady Panther,Common,Offer this face-up card as a Tribute to return 1 of your Monsters destroyed in battle during this turn to the top of your Deck,Monster
The Unfriendly Amazon,Common,Offer 1 of your Monsters on the field as a Tribute (excluding this Monster) during each of your Standby Phases. If you cannot this card is destroyed. Monsters used for a Tribute Summon or that are offered as Tributes due to other cards effects are excluded,Monster
Amazon Archer,Common,Offer 2 Monsters on your side of the field as a Tribute to inflict 1200 points of Direct Damage to your opponents Life Points. Monsters used for a Tribute Summon or that are offered as Tributes due to other cards effects are excluded,Monster
Crimson Sentry,Common,Offer this face-up card as a Tribute to return 1 of your Monsters destroyed in battle during this turn to the bottom of your Deck,Monster
Fire Princess,Super Rare,Inflict 500 points of Direct Damage to your opponents Life Points each time you increase your own Life Points,Monster
Lady Assailant of Flames,Common,FLIP: Remove 3 cards from the top of your Deck from play to inflict 800 points of Direct Damage to your opponents Life Points,Monster
Fire Sorcerer,Common,FLIP: Randomly select 2 cards from your hand and remove them from play to inflict 800 points of Direct Damage to your opponents Life Points.,Monster
Spirit of the Breeze,Rare,As long as this card remains on your side of field in face-up Attack Position increase your Life Points by 1000 points during each of your Standby Phases,Monster
Dancing Fairy,Common,As long as this card remains on your side of the field in face-up Defense Position increase your Life Points by 1000 points during each of your Standby Phases,Monster
Fairy Guardian,Common,Offer this face-up card as a Tribute to return 1 Magic Card sent to your Graveyard by your opponent during this turn to the bottom of your Deck,Monster
Empress Mantis,Common,Queen of an army of giant mantises whose command moves legions.,Monster
Cure Mermaid,Common,As long as this card remains face-up on your side of the field increase your Life Points by 800 points during each of your Standby Phases,Monster
Hysteric Fairy,Common,Offer 2 Monsters on your side of the field as a Tribute to increase your Life Points by 1000 points. Monsters used for a Tribute Summon or that are offered as Tributes due to other cards effects are excluded.,Monster
Bio-Mage,Common, A mysterious priest created as a result of the latest advances in biotechnology.,Monster
The Forgiving Maiden,Common,Offer this face-up card as a Tribute to return 1 of your Monsters destroyed in battle during this turn to your hand.,Monster
St. Joan,Common,The Forgiving Maiden + Marie the Fallen One,Monster
Marie the Fallen One,Rare,As long as this card exists in your Graveyard increase your Life Points by 200 points during each of your Standby Phases,Monster
Jar of Greed,Super Rare,Draw 1 Card from your Deck,Trap
Scroll of Bewitchment,Common,Select 1 AtTribute when you activate this card. Change the AtTribute of the equipped Monster to the one you select,Spell
United We Stand,Ultra Rare,For every face-up Monster you control increase the ATK and DEF of the equipped Monster by 800 points,Spell
Mage Power,Ultra Rare,For every Magic and Trap Card on your side of the field increase the ATK and DEF of the equipped Monster by 500 points,Spell
Offerings to the Doomed,Common,Destroys 1 face-up Monster. Skip your next Draw Phase,Spell
The Portraits Secret,Common,A portrait cursed by the artist it is said to bring ill fortune to anyone who owns it.,Monster
The Gross Ghost of Fled Dreams,Common,This Monster feeds on the dreams of an unwary sleeper dragging the victim into eternal slumber.,Monster
Headless Knight,Common,A haunted spirit of a falsely accused knight who wanders in search of truth and justice. ,Monster
Earthbound Spirit,Short Print,A vengeful creature formed by the spirits of fallen warriors it drags any who dare approach it into the deepest bowels of the earth.,Monster
The Earl of Demise,Common,This gentlemanly creature is extremely wicked feared by man and fiend alike.,Monster
Boneheimer,Common,This Monster wanders the seas sucking dry any creatures it may encounter.,Monster
Flame Dancer,Common, This Monster moves while swinging its burning rope.,Monster
Spherous Lady,Common, Many have been deceived by the beauty of this vampire.,Monster
Lightning Conger,Common,This massive eel generates huge charges of electricity and unleashes them as thunderbolts.,Monster
Jowgen the Spiritualist,Rare,Randomly discard 1 card from your hand to the Graveyard to destroy all Special Summoned Monsters on the field. In addition as long as this card remains face-up on the field no Monsters can be Special Summoned,Monster
Kycoo the Ghost Destroyer,Super Rare,Each time this card inflicts battle damage to your opponents Life Points you can remove up to 2 cards in your opponents Graveyard from play. In addition as long as this card remains face-up on the field your opponent cannot remove any cards in either Graveyard from play,Monster
Summoner of Illusions,Short Print,FLIP: Offer 1 Monster on your side of the field as a Tribute (excluding this Monster). Special Summon 1 Fusion Monster Card from your Fusion Deck. The Fusion Monster is destroyed at the end of the turn this card is activated.,Monster
Bazoo the Soul-Eater,Super Rare,You can remove up to 3 cards in your Graveyard from play to increase the ATK of this Monster by 300 points for each card removed from play until the end of your opponents next turn. This effect can only be used only once during your turn.,Monster
Dark Necrofear,Ultra Rare,This card can only be Special Summoned by removing 3 Fiend-Type Monsters in your Graveyard from play. When this card is destroyed in battle or by your opponents card effect it is treated as an Equip Magic Card at the end of the turn. Equip 1 of your opponents Monsters with this card. As long as it is equipped with this card you control the equipped Monster.,Monster
Soul of Purity and Light,Common,This card can only be Special Summoned by removing 2 LIGHT Monsters in your Graveyard from play. As long as this card remains face-up on the field decrease the ATK of all Monsters on your opponents side of the field by 300 points during his/her Battle Phase,Monster
Spirit of Flames,Common,This card can only be Special Summoned by removing 1 FIRE Monster in your Graveyard from play. Increase the ATK of this Monster by 300 points during your Battle Phase,Monster
Aqua Spirit,Common,This card can only be Special Summoned by removing 1 WATER Monster in your Graveyard from play. As long as this Monster remains face-up on the field during each of your opponents Standby Phases you can change the battle position of 1 of your opponents face-up Monster Cards. Once changed the Monster must remain in this position for the rest of the turn,Monster
The Rock Spirit,Common,This Monster can only be Special Summoned by removing 1 EARTH Monster in your Graveyard from play. Increase the ATK of this Monster by 300 points during your opponents Battle Phase,Monster
Garuda the Wind Spirit,Common,This Monster can only only be Special Summoned by removing 1 WIND Monster in your Graveyard from play. As long as this Monster remains face up on the field you may change the battle position of 1 of your opponents face-up Monster Cards at each End Phase of your opponents turn.,Monster
Gilasaurus,Rare,You may treat the Normal Summon of this card as a Special Summon. If you select Special Summon your opponent may select a Monster Card from his/her Graveyard and Special Summon the Monster to the field,Monster
Tornado Bird,Rare,FLIP: Return 2 Magic or Trap Cards on the field to the hands of their owner.,Monster
Dreamsprite,Common,When attacked by your opponents Monster select another 1 of your Monster Cards and designate it as the attacks target then calculate damage,Monster
Zombyra the Dark,Short Print,This card cannot attack a player directly. Each time this card destroys a Monster in battle decrease the ATK of this card by 200 points,Monster
Supply,Short Print,FLIP: Return 2 Fusion-Material Monsters that were sent to the Graveyard as a result of a Fusion Summon to your hand,Monster
Maryokutai,Common,The effect of this card can only be applied during your opponents turn. When your opponent activates a Magic Card offer this face-up card as a Tribute to negate the activation of the Magic Card and destroy it.,Monster
The Last Warrior from Another Planet,Ultra Rare,"Zombyra the Dark + Maryokutai. 
When this card is Special Summoned destroy all Monsters on your side of the field except this card. As long as this card remains face-up on the field both player cannot Summon (including Flip Summon or Special Summon) any Monster",Monster
Collected Power,Short Print,Select 1 face-up Monster on the field. Equip this Monster with all face-up Equip Magic Cards on the field. If the target of the Equip Magic Card is not correct destroy the Equip Magic Card.,Trap
Dark Spirit of the Silent,Super Rare,This card can only be activated during your opponents Battle Step. Negate the attack of 1 Monster and select another 1 of your opponents face-up Monsters and have it attack. If the new targeted attacking Monster is in face-up Defense Position change it to Attack Position,Trap
Royal Command,Ultra Rare,Negates the activation and effects of all Flip Effect Monsters.,Trap
Riryoku Field,Super Rare,Negates the activation of a Magic Card that designates 1 Monster as a target and destroys the Magic Card,Trap
Skull Lair,Common,Remove any number of cards in your Graveyard from play. Destroy 1 face-up Monster on the field whose Level Stars are equal to the number of the cards you removed from play,Trap
Graverobbers Retribution,Common,During each of your Standby Phases inflict 100 points of Direct Damage to your opponents Life Points for each of your opponents Monster Cards that have been removed from play,Trap
Deal of Phantom,Common,Select 1 Monster face-up on the field. Increase the selected Monsters ATK by 100 points for each Monster in your Graveyard during the turn this card is activated. The number of Monster is applied when this card is activated,Trap
Destruction Punch,Rare,When the ATK of an attacking Monster on your opponents side of the field is lower than the DEF of the attacked Defense Position Monster on your side of the field destroy the attacking Monster. Damage calculation is applied normally,Trap
Blind Destruction,Common,During your Standby Phase roll 1 six-sided die once. Destroy any Monsters whose Level Stars are equal to the number rolled. If the number is 6 destroy all face-up Level 6 or higher Monsters on the field,Trap
The Emperors Holiday,Common,Negate the effects of all Equip Magic Cards.,Trap
Destiny Board,Ultra Rare,At the end of each of your opponents turns place 1 Spirit Message card from your hand or your Deck face-up to the field. If it is from your Deck then shuffle your Deck. If Spirit Message cards I N A and L are all on the field in their proper order you are declared the winner. If any of the cards are destroyed or removed from the field while constructing the message they are all sent to your Graveyard immediately,Trap
Spirit Message I,Rare,This card can only be placed on the field when Destiny Board is active,Spell
Spirit Message N,Rare,This card can only be placed on the field when Destiny Board is active,Spell
Spirit Message A,Rare,This card can only be placed on the field when Destiny Board is active,Spell
Spirit Message L,Rare,This card can only be placed on the field when Destiny Board is active,Spell
The Dark Door,Common,Both players can only attack with 1 Monster during their respective Battle Phases,Spell
Spiritualism,Rare,Return 1 Magic or Trap Card on your opponents side of the field to his/her hand. This cards activation and effect cannot be negated by any other card.,Spell
Cyclon Laser,Short Print,This card can only be used to equip Gradius. Increases the ATK of Gradius by 300 points. When Gradius attacks with an ATK that is higher than the DEF of your opponents Defense Position Monster inflict the difference as Battle Damage to your opponents Life Points,Spell
Bait Doll,Common,Force the activation of 1 face-down Trap Card. If the timing of the activation of the Trap Card is incorrect negate the effect and destroy it. If it is not a Trap Card it is returned to its original position. After this card is activated it is placed into the Deck (not the Graveyard). The Deck is then shuffled,Spell
De-Fusion,Super Rare,Return 1 Fusion Monster Card on the field to the Fusion Deck. In addition if all the Fusion-Material Monsters for the returned Fusion Monster Card are in your Graveyard you can Special Summon them all to the field in face-up Attack or Defense Position,Spell
Fusion Gate,Short Print,As long as this card remains face-up on the field a Fusion Monster can be Special Summoned without using Polymerization. The Fusion-Material Monsters used in the Fusion are not sent to the Graveyard but are removed from play,Spell
Ekibyo Drakmord,Common,A Monster equipped with this card cannot attack. Destroys the equipped Monster at the end of the 2nd turn of the player controlling the Monster. At that time this card is returned to the owners hand,Spell
Miracle Dig,Common,If there are 5 or more of your Monsters that have been removed from play in the current Duel return 3 of them to the Graveyard,Spell
Dragonic Attack,Common,This card can only be used to equip Warrior-Type Monsters. The equipped Monster is treated as Dragon-Type and increases the ATK and DEF of the equipped Monster by 500 points,Spell
Spirit Elimination,Common,When Monsters in the Graveyard are removed from play remove Monsters on your side of the field from play as substitutes. This card remains active until the end of the turn that it is activated. The substitutes remain removed from play,Spell
Vengeful Bog Spirit,Short Print,All Monsters on the field cannot attack in the same turn that they are summoned (includes Flip Summon and Special Summon).,Spell
Magic Cylinder,Secret Rare,Negate the attack of 1 of your opponents Monsters and inflict Direct Damage equal to the attacking Monsters ATK to your opponents Life Points.,Trap
Yata-Garasu,Secret Rare,This card cannot be Special Summoned. This card returns to the owners hand during the End Phase of the turn that it is Normal Summoned Flip Summoned or flipped face-up. When this card inflicts Battle Damage to your opponents Life Points your opponent skips his/her next Draw Phase.,Monster
Dark Ruler Ha Des,Ultra Rare,As long as this card remains face-up on the field negate the effects of Effect Monsters destroyed by Fiend-Type Monsters on your side of the field in battle. This card cannot be Special Summoned from the Graveyard.,Monster
Dark Balter the Terrible,Super Rare,"Possessed Dark Soul + Frontier Wiseman 
This Monster can only be Fusion Summoned by the above Fusion Material Monsters. When a Normal Magic Card is activated negate the effect by paying 1000 Life Points. Also negate the effect of an Effect Monster that is destroyed by this Monster in battle.",Monster
Lesser Fiend,Rare,"Archfiend Card
As long as this Monster remains face-up on the field Monsters destroyed by this Monster in battle are removed from play instead of being sent to the Graveyard.",Monster
Possessed Dark Soul,Common,Offer this face-up card as a Tribute to take control of all face-up Level 3 or lower Monsters on your opponents side of the field until they are destroyed or removed from the field.,Monster
Winged Minion,Common, Tribute this face-up card. Select 1 face-up Fiend-Type Monster on the field. Increase the ATK and DEF of the Monster by 700 points as long as it remains face-up on the field.,Monster
Skull Knight #2,Common,If you Tribute Summon a Fiend-Type Monster by offering this Monster as a Tribute Special Summon 1 Skull Knight #2 from your Deck in face-up Attack or Defense Position. Your Deck is then shuffled.,Monster
Ryu-Kishin Clown,Common,When this card is Summoned (including Flip Summon and Special Summon) select 1 face-up Monster on the field and change its battle position.,Monster
Twin-Headed Wolf,Common,When there is another face-up Fiend-Type Monster on your side of the field negate the effect of Flip Effect Monsters destroyed by this card.,Monster
Opticlops,Rare,A one-eyed giant that serves the Dark Ruler Ha Des it skewers its enemies with its sharp horn shattering them to pieces.,Monster
Bark of Dark Ruler,Common,You can activate this card during the Damage Step of the Battle Phase that a Fiend-Type Monster on your side of the field attacks or is attacked. Pay your Life Points (in multiples of 100 points) to decrease 1 of your opponents Monsters ATK and DEF by the same amount of points until the End Phase of that turn.,Trap
Fatal Abacus,Rare,As long as this card remains face-up on the field each time 1 Monster Card is sent from the field to the Graveyard inflict 500 points of Direct Damage per card to the respective card owners Life Points.,Trap
Life Absorbing Machine,Common, As long as this card remains face-up on the field during your Standby Phase increase your Life Points by an amount equal to half of the total Life Points you have paid in your last turn.,Trap
The Puppet Magic of Dark Ruler,Common,Select 1 Fiend-Type Monster from your Graveyard. Remove Monsters on your side of the field from play whose total Level Stars exactly equal the Level of the selected Fiend-Type Monster. Then Special Summon the selected Monster from your Graveyard.,Spell
Soul Demolition,Common,You can activate this cards effect when you have a Fiend-Type Monster on your side of the field. You must pay 500 Life Points to use this effect. Both players select 1 Monster Card from their opponents Graveyard and remove them from play.,Trap
Double Snare,Common,Select 1 face-up card on the field that has the effect that negates Trap Cards effects and destroy it.,Spell
Freed the Matchless General,Ultra Rare,Negate the effect of a Magic Card that specifically designates this card as a target and destroy it. As long as this card remains face-up on the field you can add 1 Level 4 or lower Warrior-Type Monster from your Deck to your hand per turn instead of drawing 1 card during you Draw Phase. Your Deck is then shuffled.,Monster
Throwstone Unit,Common, Tribute 1 Warrior-Type Monster on your side of the field to destroy 1 face-up Monster on the field whose DEF is equal to or less than the ATK of Throwstone Unit.,Monster
Marauding Captain,Ultra Rare,As long as this Monster remains face-up on the field your opponent cannot select another face-up Warrior-Type Monster on your side of the field as an attack target. When this Monster is Normal Summoned you can Special Summon 1 Level 4 or lower Monster from your hand.,Monster
Ryu Senshi,Super Rare," Warrior Dai Grepher + Spirit Ryu
A Fusion Summon of this Monster can only be conducted with the above Fusion Material Monsters. Negate the effect of a Normal Trap Card by paying 1000 Life Points. Also negate the effects of a Spell Card that targets and destroy it.",Monster
Warrior Dai Grepher,Common,The warrior who can manipulate dragons. Nobody knows his mysterious past.,Monster
Mysterious Guard,Common,FLIP: Return 1 face-up Monster on the field to the top of its owners Deck. At the same time if there is a face-up Warrior-Type Monster on the field you can return another face-up Monster to its owners hand.,Monster
