name,rarity,description,type
 Search for an Exit: A Wrong Turn,,"Side A: While Search for an Exit is the active quest card. only flip it to side 2B at the beginning of the staging step.
Side B: Forced: If Heading Down is in the players victory display at the end of any quest phase. shuffle Heading Down back into the quest deck.
Players may bypass this quest card at the end of the combat phase.",Quest
Search for an Exit: Narrow Paths,,"Quest. Flight from Moria 2. Khazad-dum x1. Quest Points: 3. VP 1
Side A: While Search for an Exit is the active quest card. only flip it to side 2B at the beginning of the staging step.
Side B: When Revealed: Each player chooses 1 questing character he controls.  Each questing character not chosen does not count its Willpower until the end of the turn.

Forced: After placing 1st progress token on Narrow Paths. search the encounter deck and discard pile for Abandoned Tools and add it to the staging area. if able.

Players may bypass this quest card at the end of the combat phase.",Quest
Search for an Exit: Hasty Council,,"Side A: While Search for an Exit is the active quest card. only flip it to side 2B at the beginning of the staging step.
Side B: When Revealed: Shuffle all copies of A Foe Beyond from the encounter discard pile back into the encounter deck.  Reveal the top 2 cards of the quest deck.  Choose 1 to become the active quest (flipped to side 2B) and put the other on the bottom of the quest deck.  Then. add Hasty Council to your victory display.",Quest
Search for an Exit: Blocked by Shadow,,"Side A: While Search for an Exit is the active quest card. only flip it to side 2B at the beginning of the staging step.
Side B: When Revealed: The first player chooses 1 of the following: 
* Each player discards 1 card from the top of the encounter deck.  If the card is a treachery card. the discarding player is eliminated from the game.
* Reveals the next quest card. putting Blocked by Shadow on the bottom of the quest deck.

Players may bypass this quest card at the end of the combat phase.  If the players defeat this stage. they escape and win the game.",Quest
Search for an Exit: Escape from Darkness,,"Side A: While Search for an Exit is the active quest card. only flip it to side 2B at the beginning of the staging step.
Side B: Abandoned Tools gains: ""Refresh Action: Exhaust attached hero to put a progress token on Escape from Darkness.""

Players may bypass this quest card at the end of the combat phase.

Progress tokens cannot be placed on Escape from Darkness except by Abandoned Tools.  If the players defeat this stage. they escape and win the game.",Quest
Elrohir,Unique,When Elladan is in play. Elrohir gets +2 Defense. Response: After Elrohir is declared as a defender. pay 1 resource from his resource pool to ready him.,Hero
Taking Initiative,,Action: Discard the top card of your deck. If the discarded cards printed cost is equal to or higher than the number of characters you control. draw 2 cards and deal 2 damage to any enemy.,Event
Timely Aid,,Action: Reveal the top 5 cards of your deck and put 1 revealed ally into play. if able. Shuffle all other revealed cards back into your deck.,Event
Unseen Strike,,Action: Choose a character you control.  Until the end of the phase. that character gets +3 Attack while attacking an enemy with a higher engagement cost than your threat.,Event
Keeping Count,,Attach to a hero. Limit 1 per hero. Attached hero gets +1 Attack for each resource token on another copy of Keeping Count that is above the current number of resource tokens on this card.    Forced: After attached hero attacks and destroys an enemy. place 1 resource token on this card.,Attachment
Bofur,Unique,Quest Action: Spend 1 Spirit resource to put Bofur into play from your hand. exhausted and committed to a guest.  If you quest successfully this phase and Bofur is still in play. return him to your hand.,Ally
Renewed Friendship,,Response: After another player plays an attachment on a hero you control. you may (choose 1): ready 1 of that players heroes. have that player draw 1 card. or lower that players threat by 2.,Event
Ravenhill Scout,,Action: Exhaust Ravenhill Scout to move up to 2 progress tokens from 1 location to another location.,Ally
Needful to Know,,Action: Raise your threat by 1 to look at the top card of the encounter deck. Then. reduce your threat by X. where X is the threat of that card.,Event
Good Meal,,Attach to a Hobbit hero. Action: Discard Good Meal to lower the cost of the next event you play this round that matches attached heros sphere by 2.,Attachment
Up The Pass,,"Side A: Setup: Add Caradhras to the staging area. Remove all copies of Snowstorm from the encounter deck and set them aside. out of play. Put Arwen Undomiel into play under the control of the first player.
Side B: When Revealed: Reveal 1 card from the encounter deck per player. and add it to the staging area.",Quest
Snowdrifts,,"Side A: none
Side B: When Revealed: Shuffle 1 more copy of Snowstorm into the encounter deck than the number of players in the game.
Forced: After placing the 11th progress token on Snowdrifts. discard any active location. Caradhras becomes the active location.",Quest
The Mountains Peaks,,"Side A: none. 
Side B: When Revealed: Shuffle all copies of Snowstorm in the encounter discard pile back into the encounter deck. Characters are discarded from play if their Willpower is ever 0.
Players cannot defeat this stage unless they have 5 victory points. If the players defeat this stage. they have won the game.",Quest
Arwen Undomiel,,"The first player gains control of Arwen Undomiel. as an ally.
Response: After Arwen Undomiel exhausts. choose a hero. Add 1 resource to the heros resource pool. If Arwen Undomiel leaves play. the players are defeated.",Objective - Ally
Caradhras,,While Caradhras is the active location. questing characters get -1 Willpower. Players cannot travel to Caradhras except by quest card effects.,Location
Fanuidhol,,While Fanuidhol is the active location. heroes must spend 1 resource pool to count their Willpower during the quest phase.,Location
Celebdil,,While Celebdil is the active location. remove 2 progress tokens from it at the end of each round.,Location
The Dimrill Stair,,Travel: Reshuffle all locations in the discard pile and victory display back into the encounter deck. If you reshuffled at least two locations. reduce each players threat by 11 and discard all copies of Freezing Cold from play.,Location
Rocky Crags,,Travel: Each player must deal 2 damage to 1 character he controls to travel here.,Location
Fell Voices,,When Revealed: Return the top 2 Snow cards in the encounter discard pile to the top of the encounter deck. If this effect returned less than 2 Snow treachery cards. Fell Voices gains surge.,Treachery
Fallen Stones,,When Revealed: The first player (choose 1): removes all progress tokens from play. or reveals 2 cards from the encounter deck and adds them to the staging area.,Treachery
Snowstorm,,When Revealed: Each questing character gets -1 Willpower until the end of the phase.,Treachery
Freezing Cold,,"When Revealed: The first player attaches this card to a hero he controls. Counts as a Condition attachment with the text: ""Attached hero gets -2 Willpower and cannot commit to a quest. If attached hero has more that 1 copy of Freezing Cold attached. discard attached hero from play.""",Treachery
Avalanche!,,When Revealed: Exhaust each ready character and if it is the quest phase commit them to the quest.,Treachery
Mountain Goblin,,Mountain Goblin gets +1 Attack for each Mountain location in the staging area.,Enemy
Mountain Troll,,Mountain Troll gets +1 Attack for each Mountain location in the staging area.,Enemy
Snow Warg,,"Allies cannot defend while Snow Warg is attacking.
Forced: When Snow Warg attacks. deal 1 damage to the defending character. if able.

Erratad: Should read: “Forced: After a character is declared as a defender against Snow Warg. deal 1 damage to the defending character. if able.”",Enemy
Elladan,Unique,"While Elrohir is in play. Elladan gets +2 Attack.
Response: After Elladan is declared as an attacker. pay 1 resource from his resource pool to ready him. ",Hero
Dunedain Wanderer,,,Ally
Lure of Moria,,Action: Ready all Dwarf characters.,Event
Rivendell Blade,,"Attach to a Noldor or Silvan character. Restricted.
When attached character attacks an enemy. that enemy gets -2 Defense until the end of the phase. ",Attachment
Hail of Stones,,Action: Exhaust X characters to deal X damage to an enemy in the staging area. ,Event
Rider of the Mark,,"Action: Spend 1 Spirit resource to give control of Rider of the Mark to another player. (Limit once per round.)
Response: After Rider of the Mark changes control. discard a shadow card dealt to an enemy you are engaged with. ",Ally
Song of Eärendil,,"Attach to a Spirit hero. Response: After Song of Eärendil enters play. draw 1 card.
Response: After another player raises his threat. raise your threat by 1 to reduce that players threat by 1. ",Attachment
Bombur,Unique,Action: Exhaust Bombur to choose a location. That location gets   -1 Threat until the end of the phase. (That location does not contribute its Threat instead if it is an Underground location.) ,Ally
Out of the Wild,,Action: Search the top 5 cards of the encounter deck for any 1 non-objective card worth no victory points and add it to your victory display. Shuffle the encounter deck. ,Event
The End Comes,,Response: After a Dwarf character leaves play. shuffle the encounter discard pile back into the encounter deck. ,Event
Along the Misty Mountains,,"Side A: Setup: Put Arwen Undomiel into play under the control of the first player. Shuffle the encounter deck. Reveal 1 card from the encounter deck per player. and add them to the staging area. 
Side B: none.",Quest
Orc Outpost,,"Side A: none. 
Side B: When Revealed: Search the encounter deck and discard pile for Goblin Gate and add it to the staging area. if able. Then. if there is no active location. Goblin Gate becomes the active location. ",Quest
Approaching Rivendell,,"Side A: none.
Side B: When Revealed: Reveal 1 card from the encounter deck per player. and add it to the staging area.
Characters cannot be healed.
If the players defeat this stage. they have won the game. ",Quest
Arwen Undomiel,,"The first player gains control of Arwen Undomiel. as an ally.
Response: After Arwen Undomiel exhausts. choose a hero. Add 1 resource to the heros resource pool. If Arwen Undomiel leaves play. the players are defeated.",Objective - Ally
Ruined Road,,Response: After you travel to Ruined Road. the first player places 2 progress tokens on it or readies 1 hero he controls.,Location
Goblin Gate,,While Goblin Gate is the active location. the first enemy revealed from the encounter deck each round gains ambush. If that enemy engages a player. it makes an immediate attack (deal and resolve a shadow card).,Location
Pathless Country,,Forced: After at least 1 progress token is placed on Pathless Country. remove 1 progress token from it.,Location
Barren Hills,,While Barren Hills is the active location. ignore ambush.,Location
Sleeping Sentry,,When Revealed: Deal 1 damage to each exhausted character. Then. exhaust all ready characters.,Treachery
Followed by Night,,When Revealed: The first player (choose 1): deals 1 damage to all allies in play and Followed by Night gains surge. or all enemies engaged with players make an immediate attack. if able.,Treachery
Orc Ambush,,When Revealed: All Orc enemies in the staging area engage the first player. If there are no Orc enemies in the staging area. return all Orc enemies in the encounter discard pile to the staging area. if able.,Treachery
Goblin Taskmaster,,"Ambush (After this enemy enters play. each player makes an engagement check against it.)
Forced: After Goblin Taskmaster engages a player. that player deals 2 damage to 1 character he controls.",Enemy
Orc Raiders,,"Ambush (After this enemy enters play. each player makes an engagement check against it.)
Forced: After Orc Raiders engages a player. that player discards 2 attachments he controls. if able.",Enemy
Crebain,,While Crebain is in the staging area. encounter card effects cannot be canceled.,Enemy
Wild Bear,,"Ambush (After this enemy enters play. each player makes an engagement check against it.)
Forced: After Wild Bear engages a player. it makes an immediate attack.",Enemy
Aragorn (WitW),Unique,Refresh Action: Reduce your threat to your starting threat level. (Limit once per game.),Hero
Grave Cairn,,Response: After a character leaves play. add its Defense to another characters Defense until the end of the round.,Event
Sword that was Broken,,Attach to a hero. Attached hero gains a Leadership resource icon. If attached hero is Aragorn. each character you control gets +1 Willpower.,Attachment
Watcher of the Bruinen,,"Watcher of the Bruinen does not exhaust to defend.
Forced: After Watcher of the Bruinen defends. either discard it from play or discard 1 card from your hand.",Ally
Rivendell Bow,,"Attach to a Noldor or Silvan character. or to Aragorn.
Limit 1 per character.
Attached character gains ranged. If attached character has a printed ranged keyword. it gets +1 Attack during a ranged attack.",Attachment
Arwen Undomiel,Unique,Response: After Arwen Undomiel exhausts. choose a character. That character gains sentinel and gets +1 Defense until the end of the round.,Ally
Elronds Counsel,,Action: If you control a unique Noldor character. give another character +1 Willpower until the end of the phase and lower your threat by 3.,Event
Short Cut,,Response: After a location enters play. exhaust a Hobbit character to shuffle that location back into the encounter deck. Then. reveal 1 card from the encounter deck and add it to the staging area.,Event
Legacy of Durin,Unique,"Attach to a Dwarf hero.
Response: After you play a Dwarf character from your hand. draw 1 card.",Attachment
Resourceful,,"Attach to a hero you control.
Attached hero collects 1 additional resource during the resource phase each round.",Attachment
To the West-door,,"Side A: Setup: Remove The Watcher and Doors of Durin from the encounter deck and set them aside. out of play.
Side B: When Revealed: Reveal cards from the top of the encounter deck and add them to the staging area until there is at least X Threat in the staging area. X is twice the number of players in the game. ",Quest
The Seething Lake,,"Side A: none.
Side B: When Revealed: Add The Watcher to the staging area. Doors of Durin becomes the active location. moving any previous active location to the staging area. Shuffle all Tentacle cards in the encounter discard pile back into the encounter deck.
If the players have at least 3 victory points and defeat this stage. they have won the game. ",Quest
Doors of Durin,,Progress tokens that would be placed on the Doors of Durin are instead placed on the current quest card. Action: Each player may discard any number of cards from his hand. Then. discard the top card of the encounter deck. If the first letter of the encounter cards title matches that of one of the discarded player cards. add Doors of Durin to your victory display. (Limit once per round.),Location
Sair Falls,,Travel: The first player must exhaust 2 characters to travel here.,Location
Perilous Swamp,,No more than 1 progress token can be placed on Perilous Swamp each round.,Location
Makeshift Passage,,Forced: After you travel to Makeshift Passage. place 2 progress tokens on the current quest card. bypassing any active location.,Location
Stagnant Creek,,When Revealed: Discard the top card of the encounter deck. If the discarded card is a Tentacle enemy. add that card to the staging area and raise each players threat by 5.,Location
Ill Purpose,,When Revealed: All enemies in the staging area engage the player with the highest threat. Then. each player raises his threat by the total Threat of all cards in the staging area. ,Treachery
Disturbed Waters,,,Treachery
The Watcher,,While there is another Tentacle enemy in play. The Watcher cannot be optionally engaged. If The Watcher is in the staging area at the end of the combat phase. each player must deal 3 damage to 1 character he controls.,Enemy
Grasping Tentacle,,"Forced: When Grasping Tentacle is attacked. discard the top card of the encounter deck. If that card has a shadow effect or is a Tentacle enemy. attach this card to an attacking character as a Tentacle attachment with the text: ""Attached characters Attack and Defense are reduced to 0.""",Enemy
Striking Tentacle,,Forced: When Striking Tentacle attacks. discard the top card of the encounter deck. If that card has a shadow effect or is a Tentacle enemy. this attack is considered undefended.,Enemy
Thrashing Tentacle,,Forced: When Thrashing Tentacle is attacked. discard the top card of the encounter deck. If that card has a shadow effect or is a Tentacle enemy. deal the damage from the attack to 1 character an attacking player controls (ignoring defense).,Enemy
Wrapped,,"When Revealed: The first player attaches Wrapped! to a hero he controls. (Counts as a Tentacle attachment with the text: ""Limit 1 per hero. Attached hero cannot exhaust or ready. At the end of the round. discard attached hero from play. Combat Action: Exhaust a hero you control without a Tentacle attachment to discard Wrapped!."")",Treachery
Hama,Unique,Response: After Hama is declared as an attacker. return a [Tactics] event from your discard pile to your hand. Then. choose and discard 1 card from your hand. ,Hero
Erestor,Unique,Action: Choose and discard 1 card from your hand to draw 1 card. (Limit once per round.) ,Ally
Fresh Tracks,,Response: After an enemy is added to the staging area. deal 1 damage to that enemy. Players ignore that enemy while making engagement checks this round. ,Event
Erebor Battle Master,,Erebor Battle Master gets +1 [Attack] for each other Dwarf character you control.,Ally
Ring Mail,,Attach to a Dwarf or Hobbit character. Restricted. Attached character gets +1 hit point and +1 [Defense]. ,Attachment
Out of Sight,,Action: Enemies engaged with you cannot attack this phase.,Event
Ever My Heart Rises,,Attach to a Dwarf character. Response: After you travel to a Mountain or Underground location. ready attached character and reduce your threat by 1. ,Attachment
Warden of Healing,,Action: Exhaust Warden of Healing to heal 1 damage on up to 2 different characters. Then. you may pay 2 [Lore] resources to ready Warden of Healing. ,Ally
Word of Command,,Action: Exhaust an Istari character to search your deck for 1 card and add it to your hand. Shuffle your deck. ,Event
Love of Tales,,Attach to a [Lore] hero. Limit 1 per hero. Response: After a Song card is played. add 1 resource to attached heros resource pool. ,Attachment
Journey in the Black Pit,,"Side A: Setup: The first player attaches Cave Torch to a hero of his choice.
Side B: When Revealed: Discard cards from the top of the encounter decks until you discard X locations. where X is one less than the number of players in the game (minimum of 1). Add those locations to the staging area. and shuffle the other discarded cards back into the encounter deck.

Each location gets +1 [Threat]. If the players quest unsuccessfully. trigger all ""Lost:"" effects in play.",Quest
Continuing Eastward,,"Side B: When Revealed: The first player makes a locate test. If this test is failed. reveal cards from the encounter deck equal to the number of players in the game and add them to the staging area. Then. trigger all ""Lost:"" effects in play

If the players quest unsuccessfully. trigger all ""Lost:"" effects in play. If the players defeat this stage. they have won the game.",Quest
Durins Greaves,,When Revealed: The first player attaches Durins Greaves to a hero of his choice as an attachment. Attached hero gains +1 [Defense] ,Objective
Abandoned Mine,,Lost: Return the top 2 Goblin enemies in the encounter discard pile to the staging area. if able. (PASS),Location
Dwarven Forge,,Lost: Each player must choose and discard 1 card from his hand. (PASS ),Location
Silent Caverns,,Lost: Exhaust all characters. (PASS),Location
Twisting Passage,,"Forced: Before placing progress tokens on Twisting Passage. the first player must make a locate test. If this test is failed. do not place any progress tokens on Twisting Passage and trigger all ""Lost:"" effects in play. (PASS)",Location
Fatigue,,When Revealed: Each player must exhaust 1 character he controls. if able. Then. if any player controls no unexhausted characters. Fatigue gains surge.,Treachery
Foul Air,,"When Revealed: The first player makes a locate test. If this test is failed. deal 2 damage to all characters and trigger all ""Lost:"" effects in play. (PASS)",Treachery
Gathering Ground,,"When Revealed: Attach this card to a location in the staging area with the highest combined threat and remaining quest points. (Counts as a Condition attachment with the text: ""Each enemy revealed from the encounter deck gains surge."") (PASS) ",Treachery
Vast and Intricate,,"When Revealed: The first player makes a locate test. If this test is failed. raise each players threat by 7. remove all progress tokens from play. and trigger all ""Lost:"" effects in play. ",Treachery
Cave Spider,,When Revealed: The first player draws 1 card. Then. that player must choose and discard 4 cards from his hand. if able. Forced: After Cave Spider engages a player. that player must choose and discard 1 card from his hand. if able. ,Enemy
Goblin Sneak,,Forced: After Goblin Sneak engages a player. discard the top card of the encounter deck. If it is a treachery card. Goblin Sneak engages the next player. if able. ,Enemy
Goblin Warlord,,Lost: Each player must choose and discard 1 ally he controls from play. if able.,Enemy
Rock Adder,,Rock Adder cannot be attacked unless it has dealt at least 1 damage this round. ,Enemy
Glorfindel (FoS),,Forced: After Glorfindel exhausts to commit to a quest. raise your threat by 1.,Hero
Longbeard Elder,,Response: After Longbeard Elder commits to a quest. look at the top card of the encounter deck. If that card is a location. place 1 progress token on the current quest. Otherwise Longbeard Elder gets -1 [Willpower] until the end of the phase. ,Ally
Path of Need,,Limit 1 per deck. Attach to a location. Heroes do not exhaust to attack. defend. or commit to a quest while attached location is the active location.,Attachment
Trollshaw Scout,,Trollshaw Scout does not exhaust to attack. Forced: After Trollshaw Scout attacks. either discard it from play or discard 1 card from your hand.,Ally
Heavy Stroke,,Response: After a Dwarf deals X damage to an enemy during combat. deal and additional X damage to that enemy. (Limit once per phase.) ,Event
Imladris Stargazer,,Action: Exhaust Imladris Stargazer to choose a player. That player looks at the top 5 cards of his deck and then returns them to the top of his deck in any order. ,Ally
Light of Valinor,,Attach to a Noldor or Silvan hero. Attached hero does not exhaust to commit to a quest. ,Attachment
Daerons Runes,,Action: Draw 2 cards. Then. discard 1 card from your hand. ,Event
Healing Herbs,,Attach to a [Lore] hero. Action: Discard Healing Herbs and exhaust attached hero to heal all damage on 1 character.,Attachment
Asfaloth,,Attach to a Noldor or Silvan hero. Action: Exhaust Asfaloth to place 1 progress token on any location. (2 tokens instead if attached hero is Glorfindel.,Attachment
The Dripping Walls,,"Side A: Setup: Place the Foundations of Stone encounter set aside. out of play. The first player attaches Cave Torch to a hero of his choice.
Side B: When Revealed: Reveal 1 card from the encounter deck per player and add it to the staging area.",Quest
The Waters Edge,,Side B: Forced: After a player commits characters to the quest. he must discard the top 2 cards of his deck.,Quest
Washed Away,,Side B: When Revealed: Discard all Item. Armor. Weapon. Light cards and all encounter deck cards from play. Shuffle all enemy and treachery cards in the counter discard pile together with the Foundations of Stone encounter set. This deck becomes the new encounter deck. Remove all other encounter deck cards from the game. Then. starting with the first player. each player draws a random stage 4 quest card. Remove all other stage 4 quest cards from the game.,Quest
Below the Mines/Sheltered Rocks,,"Side B: When Revealed: Create your own staging area. Reveal 2 cards from the encounter deck and add them to your staging area.

Forced: After the 11th progress token is placed on the Sheltered Rocks. join another player at the beginning of the travel phase. If you cannot join another player. all players continue on to stage 5 together.",Quest
Below the Mines/The Endless Caves,,"Side B: When Revealed: Create your own staging area. Discard all resources from your heroes.

Forced: After the 17th progress token is placed on The Endless Caves. join another player at the beginning of the travel phase. If you cannot join another player. all players continue on to stage 5 together.",Quest
Below the Mines/The Shivering Bank,,"Side B: When Revealed: Create your own staging area. Discard your hand. Reveal 2 cars from the encounter deck and add them to your staging area.

Forced: After the 7th progress token is placed on The Shivering Bank. join another player at the beginning of the travel phase. If you cannot join another player. all players continue on to stage 5 together.",Quest
Below the Mines/Old One Lair,,"Side B: When Revealed: Create your own staging area. Reveal 4 cards from the encounter deck and add them to the staging area.

Forced: After the 5th progress token is placed on One One Lair. join another player at the beginning of the travel phase. If you cannot join another player. all players continue on to stage 5 together.",Quest
Out of Dthe Depths,,"Side B: When Revealed: Reveal 1 card from the encounter deck per player. and add it to the staging area.

Each player cannot commit more allies to the quest than the number of heroes he is also committing to the quest.

If players defeat this stage. they have won the game.",Quest
Durins Axe,,Attached hero gets +3 [Attack]. If attached hero is a Dwarf. it gets +1 [Willpower]. Action: Exhaust a hero to claim this objective. Then. attach Durins Axe to that hero as an attachment. ,Objective
Durins Helm,,Attached hero gets +1 [Defense]. If attached hero is a Dwarf.it gets +2 hit points. Action: Exhaust a hero to claim this objective. Then. attach Durins Helm to that hero as an attachment.,Objective
Drowned Treasury,,If Drowned Treasury is the active location at the end of the quest phase. each player must discard 1 character he controls. Response: After Drowned Treasury leaves play as an explored location. each player may draw 2 cards or claim 1 objective in play. ,Location
Mithril Lode,,"While Mithril Lode is the active location. it gains: ""Refresh Action: Exhaust a character you control to place X progress tokens on the current quest card. bypassing any active location. X is the exhausted characters [Willpower]. (Limit once per round.)"" ",Location
Deep Deep Dark,,When Revealed: Attach 1 card from the top of the first players deck to each Nameless enemy in play. if able.,Treachery
Lost and Alone,,When Revealed: Each player chooses and shuffles a hero he controls into his deck. When he draws that hero. he puts it into play.,Treachery
Nameless Thing,,Forced: After Nameless Thing engages a player. attach the top 2 cards of that players deck to it. X is the printed cost of all attached cards on this card. If there are no cards attached. X is 3.,Enemy
Elder Nameless Thing,,Forced: After Elder Nameless Thing engages a player. attach the top 3 cards of that players deck to it. X is the printed cost of all attached cards on this card. If there are no cards attached. X is 4.,Enemy
Moria Bats,,Only characters with ranged can attack or defend against Moria Bats. While Moria Bats is engaged with a player. it gets +1 [Attack] for each other enemy engaged with that player.,Enemy
Elrond,Unique,You may spend resources from Elronds resource pool to pay for [Spirit]. [Leadership]. and [Tactics] allies. Response: After a character is healed by another card effect. heal 1 damage on it. ,Hero
We Are Not Idle,,Action: Exhaust X Dwarf characters to add X resources to a heros resource pool and draw 1 card. ,Event
Hardy Leadership,Unique,Unique. Attach to a [Leadership] hero. Each Dwarf character gets +1 hit point.,Attachment
Hands Upon the Bow,,Action: Exhaust a character you control with ranged to immediately declare it as an attacker (and resolve its attack) against an enemy in the staging area. It gets +1 [Attack] during this attack. ,Event
O Elbereth! Gilthonial!,,Response: After an enemy attacks you. put that enemy on the bottom of the encounter deck. If your threat is lower than that enemys engagement cost. set your threat equal to the engagement cost of that enemy.,Event
Miruvor,,Attach to a hero. Action: Discard Miruvor to (choose two): ready attached hero. add 1 resource to attached heros resource pool. attached hero gets +1 [Willpower] until the end of the round. or put Miruvor on the top of your deck.,Attachment
Master of the Forge,,Action: Exhaust Master of the Forge to search the top 5 cards of your deck for any 1 attachment and add it to your hand. Shuffle the other cards back into your deck. ,Ally
Peace. and Thought,,Refresh Action: Exhaust 2 heroes to draw 5 cards. ,Event
Risk Some Light,,Action: Look at the top 3 cards of the encounter deck. You may select 1 card and move it to the bottom of the encounter deck. Return any unselected cards to the top of the encounter deck. in any order. ,Event
Vilya,Unique,"Attach to Elrond. He gains a [Spirit] resource icon.
Action: Exhaust Elrond and Vilya to reveal the top card of your deck. You can immediately play or put into play the revealed card for no cost. if able. Otherwise. move the revealed card to the bottom of your deck. ",Attachment
Nearing the Gate,,"Side A: Setup: Remove Dark Pit from the encounter deck and place it aside. out of play. Add Durins Bane to the staging area. Shuffle the encounter deck.
Side B: When Revealed: Reduce each players threat to 0. Reveal X cards from the encounter deck. where X is one less than the number of players in the game. and add them to the staging area. ",Quest
The Rear Guard,,"Side B: Forced: If at least 1 hero committed to the quest this round. place 4 progress tokens on The Rear Guard (bypassing any active location) at the end of the quest phase.
If Durins Bane has 0 hit points. advance to the next stage of the scenario immediately.",Quest
Last Lord of Moria,,"Side B: When Revealed: Durins Bane makes an immediate attack on the first player. Add Dark Pit to the staging area.
Players cannot win the game while Durins Bane is in play. If Durins Bane leaves play by the effect on Dark Pit. the players have won the game. ",Quest
Dark Pit,,"While Dark Pit is the active location it gains: ""Refresh Action: Exhaust X characters (maximum 3) you control to discard the top X cards of your deck. If all discarded cards have a higher combined printed cost than the remaining hit points of Durins Bane. discard Durins Bane from play."" ",Location
Second Hall,,"While Second Hall is the active location. it gains: ""Forced: after a character leaves play. reveal 1 card from the encounter deck and add it to the staging area."" ",Location
Second Deep,,While Durins Bane has no damage on it. progress tokens cannot be placed on Second Deep. ,Location
Fires in the Deep,,When Revealed: Each player must discard 1 ally he controls. if able. If Fires in the Deep discarded no allies. it gains surge. ,Treachery
Counter-Spell,,"When Revealed: Attach Counter-spell to Durins Bane. (Counts as a Condition attachment with the text: ""Forced: When a player plays an event. discard the top card of the encounter deck. If that card is a treachery card. cancel the effects of the event. discard the event players hand. and discard Counter-spell from play."")",Treachery
Inner Flame,,"When Revealed: Durins Bane gets +3 [Attack] until the end of the round. The first player may remove 1 questing hero he controls from the quest to cancel this effect.
",Treachery
Inner Shadow,,When Revealed: Heal 5 damage from Durins Bane. if able. The first player may remove 1 questing hero he controls from the quest to cancel this effect. ,Treachery
Whip Lash,,"When Revealed: Each player must discard 1 attachment he controls. if able.
Shadow: If attacking enemy is Durins Bane. the defending player discards all attachments he controls. ",Treachery
Leaping Flame,,When Revealed: Durins Bane makes an immediate attack against the first player (deal and resolve a shadow card). ,Treachery
Durins Bane,,Players cannot play attachments on Durins Bane. Durins Bane cannot leave the staging area. is considered to be engaged with each player whose threat is 1 or greater. and attacks each of those players in turn during the combat phase (deal and discard a new shadow card each attack). ,Enemy
Ranging Goblin,,When Revealed: Each player must deal 1 damage to a hero he controls. Forced: After a character leaves play. shuffle Ranging Goblin and the top card in the encounter discard pile back into the encounter deck. ,Enemy
Firey Sword,,"When Revealed: Attach Fiery Sword to Durins Bane as a Weapon attachment with the text: ""Attached enemy gets +3 [Attack]."" ",Treachery
Many Thonged Whip,,"When Revealed: Attach Many Thonged Whip to Durins Bane as a Weapon attachment with the text: ""Forced: When Durins Bane attacks. the defending player must discard 1 card at random from his hand."" ",Treachery
Beregond,Unique,Lower the cost to play Weapon and Armor attachments on Beregond by 2.,Hero
Boromir,Unique,While Boromir has at least 1 resource in his resource pool. Gondor allies get +1 Attack.,Hero
Errand-rider,,Action: Exhaust Errand-rider to move 1 resource from the resource pool of a hero you control to another heros resource pool.,Ally
Citadel Custodian,,Lower the cost to play Citadel Custodian by 1 for each Gondor ally in play.,Ally
Mutual Accord,,Action: Until the end of the phase. each Gondor card in play gains the Rohan trait. and each Rohan card in play gains the Gondor trait.,Event
Wealth of Gondor,,Action: Choose a Gondor hero. Add 1 resource to that heros resource pool.,Event
Defender of Rammas,,,Ally
Behind Strong Walls,,Action: Ready a defending Gondor character. That character gets +1 [Defense] until the end of the phase.,Event
Spear of the Citadel,,"Attach to a Tactics character. Restricted.
Limit 1 per character.
Response: After attached character is declared as a defender. deal 1 damage to the attacking enemy.",Attachment
Damrod,,Action: Discard Damrod from play to lower your threat by 1 for each enemy in the staging area.,Ally
Light the Beacons,,Action: All characters get +2 [Defense] and do not exhaust to defend until the end of the round.,Event
A Watchful Place,,Response: After a location leaves play as an explored location. return it to the top of the encounter deck.,Event
Blood of Numenor,,"Attach to a Gondor of Dunedain hero.
Action: Spend 1 resource from attached heros resource pool to give attached hero +1 [Defense] for each resource in its resource pool until the end of the phase. (Limit once per phase)",Attachment
Hunter of Lamedon,,Response: After you play Hunter of Lamedon from your hand. reveal the top card of your deck. If it is an Outlands card. add it to your hand. Otherwise discard it.,Ally
Ithilien Tracker,,Action: Exhaust Ithilien Tracker to lower the Threat of the next enemy added to the staging area to 0 until the end of the phase.,Ally
Master of Lore,,"Action: Exhaust Master of Lore to name a card type. Lower the cost for you to play [Lore] cards of that type by 1 until the end of the phase (to a minimum of 1).

Errata: Action: Exhaust Master of Lore to name a card type. Lower the cost for you to play the next [Lore] card of that type by 1 until the end of the phase (to a 
minimum of 1).",Ally
Ranger Spikes,,"Play Ranger Spikes into the staging area unattached.
If unattached. attach Ranger Spikes to the next elegible enemy that enters the staging area.
Players do not make engagement checks against attached enemy. Attached enemy gets -2 [Threat].",Attachment
Envoy of Pelargir,,Response: After Envy of Pelargir enters play. add 1 resource to a Gondor or Noble heros resource pool.,Ally
Alcrons Scroll,Unique,"If unattached. return Alacrons Scroll to the staging area and it gains ""Action: Exhaust a hero to attach Alcarons Scroll to that hero.""
Forced: When the hero with Alcarons Scroll attached is damaged by an enemy attack. attach Alcarons Scroll to that enemy.",Objective
Harbor Thug,,Forced: When the player whose hero has Alcarons Scroll attached raises his threat. Harbor Thug engages that player.,Enemy
