Card Name,Cost,Rarity,Description,Type,ImageID
Secret Pass to the Treasures,0,Common,"Select 1 face-up Monster with an ATK equal to 1000 points or less on your side of the field. During the turn this card is activated, the selected Monster can attack your opponents Life Points directly.",Spell,
Call of the Mummy,0,Common,"If there is no Monster on your side of the field, you can Special Summon 1 Zombie-Type Monster from your hand. You can use this cards effect once per turn.",Spell,
Timidity,0,Common,Both players cannot destroy Set Magic and/or Trap Cards on the field until your opponents next End Phase.,Spell,
Pyramid Energy,0,Common,You can select and activate 1 of the following effects: -Increase the ATK of all face-up Monsters on your side of the field by 200 points until the End Phase of the turn this card is activated; -Increase the DEF of all face-up Monsters on your side of the field by 500 points until the End Phase of the turn this card is activated.,Spell,
Tutan Mask,0,Common,Negate the activation and effect of a Magic or Trap Card that specifically designates 1 face-up Zombie-Type Monster as a target and destroy it.,Trap,
Ordeal of a Traveler,0,Short Print,"You can activate this cards effect when your opponent attacks. Your opponent randomly selects 1 card in your hand and calls the type of the card (Monster, Magic, or Trap). If your opponent calls it wrong, the attacking Monster is returned to its owners hand.",Trap,
Bottomless Shifting Sand,0,Common,"At the end of your opponents turn, destroy the face-up Monster(s) with the highest ATK on the field. During your own Standby Phase, if you have 4 or less cards in your hand, this card is destroyed.",Trap,
Curse of Royal,0,Rare,Negate the activation of a Spell or Trap Card that includes the effect of destroying 1 Spell or Trap Card and destroy it.,Trap,
Needle Ceiling,0,Common,You can activate this card only when there are 4 or more Monsters on the field. Destroy all face-up Monsters on the field.,Trap,
Statue of the Wicked,0,Super Rare,"When this face-down card is destroyed and sent to the Graveyard, Special Summon 1 ""Wicked Token"" (Fiend-Type/DARK/4 Stars/ATK 1000/DEF 1000) in Attack or Defense Position of your side of the field.",Trap,
Dark Coffin,0,Short Print,"When this card is destroyed and sent to the Graveyard, your opponent must select and execute 1 of the following effects: 
? Discard 1 card in his/her hand at random
? Select 1 Monster on his/her side of the field and destroy it.",Trap,
Needle Wall,0,Common,"During your Standby Phase, roll a six-sided die once. Treat your opponents Monster Card Zone as #s 1-5, counting from your right. Destroy the Monster that is in the same Monster Card Zone as the die result. If the result is 6, roll again.",Trap,
Trap Dustshoot,0,Common,"You can activate this card only when your opponent has 4 or more cards in his/her hand. Look at your opponents hand, then select 1 Monster Card and return it to its owners Deck. The Deck is then shuffled.",Trap,
Pyro Clock of Destiny,0,Common,Move the turn count forward by 1 turn. The turn in which this card is activated continues as normal.,Trap,
Reckless Greed,0,Rare,Draw 2 cards from your Deck and skip your next 2 Draw Phases.,Trap,
Pharaohs Treasure,0,Rare,"After activation, put this card face-up in your Deck and shuffle it. When your draw this card, it is immediately sent to the Graveyard. Then add 1 card in your Graveyard (except this card) to your hand.",Trap,
Master Kyonshee,0,Common,A wandering Kyonshee searching for a strong rival to defeat. They say he was known as the master of all martial arts.,Monster,
Kabazauls,0,Common,A huge Monster in the shape of a hippopotamus. The sneezing from his gigantic body is so fierce that people mistake it for a hurricane.,Monster,
Inpachi,0,Common,"A log that attacks lost travelers in the forest. Originally a big tree, it was cut down and possessed by a wicked spirit.",Monster,
Dark Jeroid,0,Rare,"When this Monster is Normal Summoned, Flip Summoned, or Special Summoned, select 1 face-up Monster on the field and decrease its ATK by 800 points. The effect lasts until the selected card is destroyed or removed from the field.",Monster,
Newdoria,0,Rare,"When this card is sent to the Graveyard as a result of battle, select 1 Monster on the field and destroy it.",Monster,
Helpoemer,0,Ultra Rare,"When this card has been sent to the Graveyard as a result of battle, this cards effect is activated. As long as this card exists in the Graveyard, your opponent discards 1 card randomly from his/her hand at the end of his/her Battle Phase. Neither player can Special Summon this card from the Graveyard.",Monster,
Gravekeepers Spy,0,Short Print,"FLIP: Select 1 Monster that includes ""Gravekeepers"" in its card name with an ATK of 1500 or less from your Deck and Special Summon it in face-up Attack or Defense Position. The Deck is then shuffled.",Monster,
Gravekeepers Curse,0,Common,"When this Monster is Normal Summoned, Flip Summoned, or Special Summoned, inflict 500 points of Direct Damage to your opponents Life Points.",Monster,
Gravekeepers Guard,0,Common,FLIP: Select 1 Monster Card on your opponents side of the field (regardless of position) and return it to its owners hand.,Monster,
Gravekeepers Spear Soldier,0,Short Print,"When this card attacks with an ATK that is higher than the DEF of your opponents Defense Position Monster, inflict the difference as Battle Damage to your opponents Life Points.",Monster,
Gravekeepers Vassal,0,Common,The Battle Damage this card inflicts to your opponents Life Points is treated as the Effect Damage of this card.,Monster,
Gravekeepers Watcher,0,Rare,"When your opponent activates a card that includes the effect of making your opponent discard from his/her hand (this does not include the cost of discarding cards), you can activate this card by discarding this card from your hand to the Graveyard. Negate the activation on the card and destroy it.",Monster,
Gravekeepers Chief,0,Super Rare,"You can only have 1 face-up ""Gravekeepers Chief"" on your side of the field at any time. As long as this card remains face-up on the field, your Graveyard is not affected by ""Necrovalley"". When you Tribute Summon this Monster, you can Special Summon 1 Monster that includes ""Gravekeepers"" in its name from your Graveyard.",Monster,
Garvekeepers Cannonholder,0,Short Print,"Offer 1 Monster that includes ""Gravekeepers"" in its card name on your side of the field as a Tribute to inflict 700 points of Direct Damage to your opponents Life Points. However, you cannot offer this card or another ""Gravekeepers Cannonholder"" with this cards effect. Monsters used from Tribute Summon or that are offered as Tributes due to other cards effects are excluded.",Monster,
Gravekeepers Assailant,0,Common,"You can activate this cards effect only when ""Necrovalley"" is activate on the field. When this card attacks, you can change the battle position of 1 face-up Monster on your opponents side of the field.",Monster,
A Man with Wdjat,0,Common,"When you Normal Summon this Monster and during each of your following Standby Phases as long as this card remains face-up on the field, select 1 Set card on your opponents side of the field and see it. Return the card to its original position.",Monster,
Mystical Knight of Jackal,0,Ultra Rare,"When this card destroys 1 Monster on your opponents side of the field and sends it to your opponents Graveyard as a result of battle, you can then return the card to the top of your opponents Deck.",Monster,
A Cat of Ill Omen,0,Common,"FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is active, you can add the selected card to your hand.",Monster,
Yomi Ship,0,Common,"When this card is sent to the Graveyard as a result of battle, destroy the Monster that destroyed this Monster.",Monster,
Winged Sage Falcos,0,Rare,You can return your opponents own Monster that is sent to the Graveyard by this Monster as a result of battle to the top of his/her Deck.,Monster,
An Owl of Luck,0,Common,"FLIP: Select 1 Field Magic Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is active on the field, you can add the selected card to your hand.",Monster,
Charm of Shabti,0,Common,"Discard this card from your hand. Until the End Phase, make the Battle Damage to Monsters that include ""Gravekeepers"" in their card name 0.",Monster,
Cobra Jar,0,Common,"FLIP: Special Summon 1 ""Poisonous Snake Token"" (Reptile-Type/EARTH/3 Stars/ATK 1200/DEF 1200). When the ""Poisonous Snake Token"" is destroyed as a result of battle, inflict 500 points of damage to your opponents Life Points.",Monster,
Spirit Reaper,0,Rare,"This Monster is not destroyed as a result of battle at any time, although damage calculation is applied normally. When this card is specifically designated as a target of the effect of a Magic, Trap, or Effect Monster Card, this card is immediately destroyed. When this card attacks your opponents Life Points directly, 1 card is randomly selected from your opponents hand and discarded to the Graveyard.",Monster,
Nightmare Horse,0,Common,This Monster can attack your opponents Life Points directly even if there is a Monster on your opponents side of the field.,Monster,
Reaper on the Nightmare,0,Super Rare,"Spirit Reaper + Nightmare Horse
This Monster is not destroyed as a result of battle at any time, although damage calculation is applied normally. When this card is specifically designated as a target of the effect of a Magic, Trap, or Effect Monster Card, this card is immediately destroyed. This Monster can attack your opponents Life Points directly even if there is a Monster on your opponents side of the field. When this card attacks your opponents Life Points directly, 1 card is randomly selected from your opponents hand and discarded to the Graveyard.",Monster,
Dark Designator,0,Rare,"Declare 1 Monster Card name. If the declared card is in your opponents Deck, add 1 of that card to your opponents hand.",Spell,
Card Shuffle,0,Common,"Pay 300 Life Points to shuffle either you or your opponents Deck. You can use this effect during your turn, once per turn.",Spell,
Reasoning,0,Common,"Your opponent calls a Monster Card Level. You then pick up (not draw) cards from the top of your Deck until a Monster is picked up. If that Monster is the same Level as the one called by your opponent, all picked up cards are sent to the Graveyard. If not, Special Summon the Monster that was picked up in face-up Attack or Defense Position and send the remaining cards that were picked up to the Graveyard.",Spell,
Dark Room of Nightmare,0,Super Rare,"Each time damage, except Battle Damage, in inflicted to your opponents Life Points, inflict 300 points of damage to your opponents Life Points. This cards effect is not applied to the effect of ""Dark Room of Nightmare"".",Spell,
Different Dimension Capsule,0,Common,"After this card is activated, it remains face-up on the field until your 2nd Standby Phase. Select 1 card from your Deck, then shuffle your Deck. Remove it from play and place face face-down. During your 2nd Standby Phase, destroy this card and add the removed card to your hand.",Spell,
Necrovalley,0,Super Rare,"As long as this card remains face-up on the field, negate the effects of Spell, Trap, and Monster Cards that affect card(s) in the Graveyard, and neither player can remove cards in the Graveyards from play. Also, as long as this card remains on the field increase the ATK and DEF of all Monsters that include ""Gravekeepers"" in their card name by 500 points.",Spell,
Buster Rancher,0,Common,"Only a Monster with an ATK equal to 1000 or less can be equipped with this card. During damage calculations, increase the ATK of the Monster equipped with this card by 2500 points only when the opponents Monster that battle is in Attack Position and its ATK if equal to 2500 or more OR when the opponents Monster that battle is in Defense Position and its DEF is equal to 2500 or more.",Spell,
Hieroglyph Lithograph,0,Common,"Pay 1000 of your own Life Points. During the current Duel, the limit of your hand at your End Phase becomes 7 cards.",Spell,
Dark Snake Syndrome,0,Common,Inflict Direct Damage to you and your opponents Life Points during each of your Standby Phases. The first damage begins at 200 points and is doubled following each of your Standby Phases.,Spell,
Terraforming,0,Short Print,Add 1 Field Magic Card from your Deck to your hand. Then shuffle your Deck.,Spell,
Banner of Courage,0,Common,"During your Battle Phase only, increase the ATK of all Monsters on your side of the field by 200 points.",Spell,
Metamorphosis,0,Common,Offer 1 Monster on your side of the field as a Tribute to Special Summon 1 Fusion Monster of the Same Level in face-up Attack or Defense Position from your Fusion Deck. Monsters used for a Tribute Summon or that are offered as Tribute due to offer cards effect are excluded.,Spell,
Royal Tribute,0,Common,"This card can only be activated when your ""Necrovalley"" is active on the field. Both players must discard all Monster cards in their hand to the Graveyard.",Spell,
Reversal Quiz,0,Short Print,"Send all cards in your hand and on your side of the field to the Graveyard. Call the Type of card (Monster, Magic, or Trap) on top of your Deck. If you call it right, exchange your current Life Points with your opponents ones.",Spell,
Coffin Seller,0,Rare,"Each time Monster Card(s) are sent to the your opponents Graveyard, inflict 300 points of damage to your opponents Life Points.",Trap,
Curse of Aging,0,Common,Discard 1 card from your hand. Decrease the ATK and DEF of all Monsters on your opponents side of the field by 500 points until the end of the turn this card is activated.,Trap,
Barrel Behind the Door,0,Super Rare,You can only activate this card when an effect that inflicts damage to your Life Points is activated (except Battle Damage). Switch the Effect Damage you receive to your opponents Life Points.,Trap,
Raigeki Break,0,Short Print,Discard 1 card from your hand to the Graveyard to destroy 1 card on the field.,Trap,
Narrow Pass,0,Common,This card can only be activated when both players have 2 Monsters or less on their respective sides of the field. Both players can only Normal Summon up to 2 additional Monsters on their side of the field.,Trap,
Disturbance Strategy,0,Common,Your opponent puts all cards in his/her hand back into his/her Deck. The Deck is then shuffled. You opponent then draws the same number of cards that he/she just put on top of his/her Deck.,Trap,
Trap of Board Eraser,0,Super Rare,"When an effect that inflicts damage to Life Points is activated (except Battle Damage), negate the damage to your Life Points. Your opponent than selects 1 card from his/her hand and discards it to his/her Graveyard.",Trap,
Rite of Spirit,0,Common,"Select 1 Monster Card that includes ""Gravekeepers"" in its card name from your Graveyard and Special Summon it in face-up Attack or Defense Position. This cards activation and effect is not affected by ""Necrovalley"".",Trap,
Non Aggression Area,0,Common,"You can only activated this card during your Standby Phase. Discard 1 card from your hand to the Graveyard. Your opponent cannot Normal Summon, Set, and/or Special Summon during the next turn.",Trap,
D. Tribe,0,Common,All Monsters on your side of the field are treated as Dragon-Type Monsters until the end of the turn this card is activated.,Trap,
Byser Shock,0,Ultra Rare,"When this card is Normal Summoned, Flip Summoned, or Special Summoned, return all Set cards on the field to their owners respective hands.",Monster,
Question,0,Ultra Rare,"When activating this card, your opponent cannot check cards in the Graveyard. Your opponent calls the name of the first Monster found at the bottom of your Graveyard. If he/she calls it right, the Monster is removed from play. If he/she call it wrong, the Monster is Special Summoned on your side of the field in face-up Attack or Defense Position.",Spell,
Rope of Life,0,Ultra Rare,"When 1 of your Monsters is sent to the Graveyard as a result of battle, discard your entire hand to activate this card. Special Summon the Monster to the field, increasing the ATK of the Monster by 800 points.",Trap,
Nightmare Wheel,0,Ultra Rare,"Select 1 Monster on your opponents side of the field. As long as this card remains face-up on the field, the selected Monster cannot attack or change its battle position. During each of your Standby Phases, this card inflicts 500 points of damage to your opponents Life Points. When the selected Monster is removed from the field, destroy this card.",Trap,
Lava Golem,0,Secret Rare,"This card cannot be Normal Summoned or Set. This Monster can only be Special Summoned by Tributing 2 Monsters on your opponents side of the field, and is Special Summoned to your opponents side of the field. This card inflicts 1000 points of damage to the Life Points of this cards controller during each of his/her Standby Phases. If you Special Summon this Monster, you cannot Normal Summon or Set a Monster during the same turn.",Monster,
Dark Magician Girl,0,Secret Rare,"Increase the ATK of this Monster by 300 points for each ""Dark Magician"" or ""Magician of Black Chaos"" in either players Graveyard.",Monster,
People Running About,0,Common,"Although they always suffer in silence, they swear an oath to inevitable revolt.",Monster,
Oppressed People,0,Common,"They are oppressed, but believe they will have their freedom someday.",Monster,
United Resistance,0,Common,The people that gather to swear to fight their oppressors. A revolution is coming.,Monster,
X-Head Cannon,0,Super Rare,"A Monster with a mighty cannon barrel, it is able to integrate its attacks. It attacks in many ways by combing and separating with other Monsters.",Monster,
Y-Dragon Head,0,Super Rare,"Once per turn during your Main Phase, if you control this card on the field, you can equip it to your ""X-Head Cannon"" as an Equip Spell Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, increase the ATK/DEF the the equipped Monster by 400 points. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Z-Metal Tank,0,Super Rare,"Once per turn during your Main Phase, if you control this card on the field, you can equip it to your ""X-Head Cannon"" or ""Y-Dragon Head"" as an Equip Spell Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, increase the ATK/DEF of the equipped Monster by 600 points. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Dark Blade,0,Rare,"They say he is a dragon-manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power.",Monster,
Pitch-Dark Dragon,0,Common,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""Dark Blade"" as an Equip Card OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, increase the  ATK/DEF of the equipped Monster by 400 points. When it attacks with an ATK that is higher than the DEF of a Defense Position Monster, inflict the difference as Battle Damage to your opponents Life Points. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Kiryu,0,Common,"Once per turn during your Main Phase, if you control this card on the field, you can equip it to your ""Dark Blade"" as an Equip Spell Card OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, increase the ATK/DEF of the equipped Monster by 900 points, and you can Tribute this card to allow the equipped Monster to attack your opponents Life Points directly this turn. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Decayed Commander,0,Common,"When this Monster is Normal Summoned successfully, you can Special Summon 1 ""Zombie Tiger"" from your hand. When this card attacks your opponents Life Points directly, 1 card is randomly selected from your opponents hand and discarded to the Graveyard.",Monster,
Zombie Tiger,0,Common,"Once per turn during your Main Phase, if you control this card on the field, you can equip it to your ""Decayed Commander"" as an Equip Spell Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, increase the ATK/DEF of the equipped Monster by 500 points, and each time it destroys 1 of your opponents Monsters, your opponent discards 1 card randomly from his/her hand. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Giant Orc,0,Common,"When this card attacks, it is changed to Defense Position at the end of the Battle Phase. This position cannot be changed until the end of your next turn.",Monster,
Second Goblin,0,Common,"Once per turn during your Main Phase, if you control this card on the field, you can equip it to your ""Giant Orc"" as an Equip Spell Card OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, you can change the equipped Monsters battle position once per turn. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Vampire Orchis,0,Common,"When this Monster is Normal Summoned Successfully, you can Special Summon 1 ""Des Dendle"" from your hand.",Monster,
Des Dendle,0,Common,"Once per turn during your Main Phase, if you control this card on the field, you can equip it to your ""Vampire Orchis"" as an Equip Spell Card OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, each time the equipped Monster destroys 1 of your opponents Monsters, Special Summon 1 ""Wicked Plant Token"" (Plant-Type/EARTH/1 Star/ATK 800/DEF 800).rf (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Burning Beast,0,Common,"Once per turn during your Main Phase, if you control this card on the field, you can equip it to your ""Freezing Beast"" as an Equip Card OR unequip the Union equipment and Special Summoned this card in face-up Attack Position. While equipped to a Monster by this cards effect, each time that Monster inflicts Battle Damage to your opponent, destroy 1 face-up Spell or Trap Card on the field. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Freezing Beast,0,Common,"Once per turn during your Main Phase, if you control this card on the field, you can equip it to your ""Burning Beast"" as an Equip Spell Card OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, each time the equipped Monster inflicts Battle Damage to your opponent, destroy 1 face-down Spell or Trap Card on the field.. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Union Rider,0,Common,"You can take a Union Monster that is currently a Monster on your opponents side of the field, and equip it to this card. This Monster can only be equipped with 1 Union Monster at a time. The Union Monster that is equipped to this card cannot be changed back to a Monster by its own effect.",Monster,
D. D. Crazy Beast,0,Rare,A Monster destroyed by this card in battle is removed from play.,Monster,
Spell Canceller,0,Ultra Rare,"As long as this card remains face-up on the field, all Spell Cards cannot be activated. The effects of all face-up Spell Cards are also negated.",Monster,
Neko Mane King,0,Common,"During you opponents turn, when this card is sent to the Graveyard by the effect of your opponents Spell, Trap, or Monster Card, your opponents turn ends.",Monster,
Helping Robo For Combat,0,Rare,"Each time this Monster destroys 1 of your opponents Monsters in battle, you draw 1 card and then select and return 1 card from your hand to the bottom of your Deck.",Monster,
Dimension Jar,0,Common,FLIP: Both players can remove from play up to 3 Monsters from their opponents Graveyard.,Monster,
Great Phantom Thief,0,Rare,"Each time this card inflicts Battle Damage to your opponents Life Points, declare the name of 1 card. Then see your opponents hand and discard all copies of the declared card in his/her hand to the Graveyard.",Monster,
Roulette Barrel,0,Common,"Once per turn, during your Main Phase, you can roll a six-sided die twice. Select one result and destroy 1 face-up Monster on the field whose Level Stars equal to the result.",Monster,
Paladin of White Dragon,0,Ultra Rare,"This Monster can only be Ritual Summoned with the Ritual Spell Card ""White Dragon Ritual"". You must also offer Monsters whose total Level Stars equal 4 or more as a Tribute from the field or your hand. When this Monster attacks a face-down Defense Position Monster, destroy the face-down Monster immediately with this cards effect without flipping it face-up or damage calculation. You can Special Summon 1 ""Blue-Eyes White Dragon"" from your hand or your Deck by offering this face-up card as a Tribute during your Main Phase. (Blue-Eyes White Dragon cannot attack during that turn.)",Monster,
White Dragon Ritual,0,Common,"This card is used to Ritual Summon ""Paladin of the White Dragon"". You must also offer Monsters whose total Level Stars equal 4 or more as a Tribute from the field or your hand.",Spell,
Frontline Base,0,Common,"Once per turn, during your Main Phase, you can Special Summon 1 Union Monster of Level 4 or lower from your hand.",Spell,
Demotion,0,Common,Downgrade the Monster equipped with this card by 2 Levels.,Spell,
Combination Attack,0,Rare,"During a Battle Phase, you can use this effect on 1 Monster that has attacked this turn and is equipped with a Union Monster. Change the Union Monster back to a Monster in face-up Attack or Defense Position. Also, the Monster that was equipped with the Union Monster may attack again this turn.",Spell,
Kaiser Colosseum,0,Common,"When there is 1 or more Monsters on the field of the controller of this card, his/her opponent cannot place a Monster on the field if the opponent would then have more Monsters on the field than the controller of this card.",Spell,
Autonomous Action Unit,0,Common,"Pay 1500 Life Points. Select 1 Monster Card from your opponents Graveyard. Special Summon it on your side of the field in face-up Attack Position, and equip it with this card. When this card is destroyed or removed from the field, the equipped Monster is destroyed.",Spell,
Poison of the Old Man,0,Common,"Select and activate 1 of the following effects: 
? Increase your Life Points by 1200 points
? Inflict 800 points of Direct Damage to your opponents Life Points.",Spell,
Ante,0,Rare,"Each Player selects 1 card from his/her hand, then sees the Level Stars of the selected cards. The card with more Level Stars then the other returns to the hand of the player who selected it. The player who selected the card with fewer Level Stars takes 1000 Life Points damage and sends the card he/she selected to the Graveyard. Selected cards that are not Monster Cards are treated as Level 0. If both players chose cards with equal Level Stars, return both cards to the hands of the player who selected them.",Spell,
Dark Core,0,Rare,Discard 1 card from your hand to the Graveyard to remove 1 face-up Monster Card on the field from play.,Spell,
Raregold Armor,0,Common,"As long as you control the Monster equipped with this card, your opponent cannot attack other Monsters other than the equipped Monster.",Spell,
Metalsilver Armor,0,Common,"As long as you control the Monster equipped with this card, your opponent cannot use the effects of a Spell, Trap, or Monster Card in the Graveyard, other than the equipped Monster as a target.",Spell,
Kishido Spirit,0,Common,Monsters on your side of the field cannot be destroyed in a battle if the Monsters ATK are equal.,Spell,
Tribute Doll,0,Rare,Tribute 1 Monster on your side of the field to activate this card. Special Summon 1 Level 7 Monster that can be Normal Summoned from your hand. That Monster cannot attack this turn.,Spell,
Wave-Motion Cannon,0,Common,Send this card on the field to the Graveyard during your Main Phase. Inflict Direct Damage to your opponents Life Points equal to the number of your Standby Phases that have passed after this card was played X 1000 points.,Spell,
Huge Revolution,0,Common,"This card can only be activated during your Main Phase when ""People Running About"", ""Oppressed People"", and ""United Resistance"" are face-up on your side of the field. Send all cards in your opponents hand to the Graveyard and destroy all cards your opponent controls on the field.",Trap,
Thunder of Ruler,0,Common,"You can only activate this card during your opponents Standby Phase. During the turn this card is activated, your opponent cannot perform his/her Battle Phase.",Trap,
Spell Shield Type-8,0,Super Rare,"Select and activate 1 of the following effects: 
? Negate the activation and the effect of a Spell Card that designates 1 Monster on the field as a target and destroy the Spell Card; 
? Discard 1 Spell Card from your hand to the Graveyard to negate the activation and the effect of a Spell Card and destroy it.",Trap,
Meteorain,0,Common,"During this turn, when your Monsters attack with an ATK that is higher than the DEF of your opponents Defense Position Monster, inflict the difference as Battle Damage to your opponents Life Points.",Trap,
Pineapple Blast,0,Common,"You can only activate this card when you Normal Summon a Monster successfully. If there are more Monsters on your opponents side of the field than your side, destroy your opponents Monsters so that your opponent controls the same number of Monsters as you. Your opponent selects which Monsters are destroyed.",Trap,
Secret Barrel,0,Common,Inflict Direct Damage to your opponents Life Points equal to the total number of cards on your opponents side of the field and in your opponents hand X 200 points.,Trap,
Physical Double,0,Common,"You can only activate this card during your opponents turn. Select 1 Monster on your opponents side of the field and Special Summon 1 ""Mirage Token"" in face-up Attack or Defense Position on your side of the field. The ""Mirage Token"" has the same Level, Type, AtTribute, ATK, and DEF as the selected Monster. Destroy the ""Mirage Token"" at the end of the turn.",Trap,
Rivalry of Warlords,0,Common,"Each player sends Monsters from his/her side of the field to the Graveyard so that he/she only controls 1 Type of Monster. As long as this card remains on the field, each player can only have 1 Type of Monster on the field.",Trap,
Formation Union,0,Common,"Select and activate 1 of the following effects: 
? Equip 1 Union Monster on your side of the field to an appropriate Monster on your side of the field as a Equip Spell Card
? Change 1 equipped Union Monster on your side of the field back into a Monster in face-up Attack Position.",Trap,
Adhesion Trap Hole,0,Common,"You can only activate this card when your opponent successfully Normal Summons, Flip Summons, or Special Summons a Monster. As long as that Monster remains face-up on the field, the original ATK of that Monster is halved.",Trap,
XY-Dragon Cannon,0,Ultra Rare,"""X-Head Cannon"" + ""Y-Dragon Head"" 
This card can only be Special Summoned from your Fusion Deck by removing from play the above Monsters on your side field. (You do not use ""Polymerization"".) This card cannot be Special Summoned from the Graveyard. Discard 1 card from your hand to destroy 1 face-up Spell Card or Trap Card on your opponents side of the field.",Monster,
XYZ-Dragon Cannon,0,Ultra Rare,"""X-Head Cannon"" + ""Y-Dragon Head"" + ""Z-Metal Tank"" 
This card can only be Special Summoned from your Fusion Deck by removing from play the above Monsters on your side field. (You do not use ""Polymerization"".) This card cannot be Special Summoned from the Graveyard. By discarding 1 card from your hand, destroy 1 card on your opponents side of the field.",Monster,
XZ-Tank Cannon,0,Super Rare,"""X-Head Cannon"" + ""Z-Metal Tank"" 
This card can only be Special Summoned from your Fusion Deck by removing from play the above Monsters on your side field. (You do not use ""Polymerization"".) This card cannot be Special Summoned from the Graveyard. Discard 1 card from your hand to destroy 1 face-down Spell Card or Trap Card on your opponents side of the field.",Monster,
YZ-Tank Dragon,0,Super Rare,"""Y-Dragon Head"" + ""Z-Metal Tank"" 
This card can only be Special Summoned from your Fusion Deck by removing from play the above Monsters on your side field. (You do not use ""Polymerization"".) This card cannot be Special Summoned from the Graveyard. Discard 1 card from your hand to destroy 1 face-down Monster Card on your opponents side of the field.",Monster,
Great Angus,0,Common,"A very violent beast, it is always berserk. People say that they have never seen it silent.",Monster,
Aitsu,0,Common,"He seems to be very unreliable, but he might have incredible potential.",Monster,
Sonic Duck,0,Common,"A duck which can walk at a sonic speed. Sometime, he cannot deal with his incredible speed and loses control.",Monster,
Luster Dragon,0,Ultra Rare,"A very beautiful dragon covered with sapphire. It does not like fights, but has incredibly high attack power.",Monster,
Amazoness Paladin,0,Common,"Increase the ATK of the Monster by 100 points for each Monster on your side of the field that includes ""Amazoness"" in its card name or is named ""Amazon Archer"".",Monster,
Amazoness Fighter,0,Common,All Battle Damage to this cards controller that he/she takes from a battle involving this Monster become 0.,Monster,
Amazoness Swords Woman,0,Ultra Rare,The opponent takes all Battle Damage to this cards controller that he/she takes from a battle involving this Monster.,Monster,
Amazoness Blowpiper,0,Common,Select 1 face-up Monster on your opponents side of the field during each of your Standby Phases. Decrease the ATK of the selected Monster by 500 points until the end of this turn.,Monster,
Amazoness Tiger,0,Rare,"Only 1 ""Amazoness Tiger"" can exist on your side of the field at a time. Increase the ATK of this Monster by 400 points for each Monster on your side of the field that includes ""Amazoness"" in its name, or is named ""Amazon Archer"". As long as this card remains face-up on the field, your opponent cannot select another Monster on your side of the field that includes ""Amazoness"" in its name, or is named ""Amazon Archer"", as an attack target.",Monster,
Skilled White Magician,0,Super Rare,"Each time you or your opponent activates 1 Spell Card, put 1 Spell Counter on this card (Max. 3). You can Special Summon 1 ""Buster Blader"" From your hand, Deck, or Graveyard in face-up Attack or Defense Position by offering this Monster with 3 Spell Counters as a Tribute during your Main Phase.",Monster,
Skilled Dark Magician,0,Super Rare,"Each time you or your opponent activates 1 Spell Card, put 1 Spell Counter on this card (max. 3). You can Special Summon 1 ""Dark Magician"" From your hand, Deck, or Graveyard in face-up Attack or Defense Position by offering this Monster with 3 Spell Counters as a Tribute during your Main Phase.",Monster,
Apprentice Magician,0,Rare,"When this card is successfully Normal Summoned, Flip Summoned, or Special Summoned, put 1 Spell Counter on a face-up card on the field that you can put a Spell Counter on. If this card is destroyed in battle, you can select 1 Spellcaster-Type Monster Level 2 or lower from your Deck and Special Summon it on the field in face-down Defense Position.",Monster,
Old Vindictive Magician,0,Common,FLIP: Destroy 1 Monster on your opponents side of the field.,Monster,
